@00003000: $28 <= 00001234
@00003004: $29 <= 00005678
@00003008: *00000000 <= 00005678
@0000300c: $30 <= 12340000
@00003010: $31 <= 00003018
@00003014: $31 <= 12340000
@00003034: $30 <= 12340000
@00003038: $31 <= 00003040
@0000303c: $31 <= 12340000
@00003040: $ 1 <= 24680000
@0000305c: $30 <= 12340000
@00003060: $31 <= 00003068
@00003064: $31 <= 12340000
@00003068: *00000004 <= 12340000
@00003084: $30 <= 12340000
@00003088: $31 <= 00003090
@0000308c: $30 <= 000068ac
@000030ac: $30 <= 12340000
@000030b0: $31 <= 000030b8
@000030b4: $30 <= 000068ac
@000030b8: $ 1 <= 00009964
@000030d4: $30 <= 12340000
@000030d8: $31 <= 000030e0
@000030dc: $30 <= 000068ac
@000030e0: *00000004 <= 000030e0
@000030fc: $30 <= 12340000
@00003100: $31 <= 00003108
@00003104: $31 <= 00005678
@00003124: $30 <= 12340000
@00003128: $31 <= 00003130
@0000312c: $31 <= 00005678
@00003130: $ 1 <= 12345678
@0000314c: $30 <= 12340000
@00003150: $31 <= 00003158
@00003154: $31 <= 00005678
@00003158: *00000004 <= 00005678
@00003174: $30 <= 12340000
@00003178: $31 <= 00004444
@0000317c: $31 <= 12340000
@0000319c: $30 <= 12340000
@000031a0: $31 <= 00004444
@000031a4: $31 <= 12340000
@000031a8: $ 1 <= 24680000
@000031c4: $30 <= 12340000
@000031c8: $31 <= 00004444
@000031cc: $31 <= 12340000
@000031d0: *00000004 <= 12340000
@000031ec: $30 <= 12340000
@000031f0: $31 <= 00004444
@000031f4: $30 <= 000068ac
@00003214: $30 <= 12340000
@00003218: $31 <= 00004444
@0000321c: $30 <= 000068ac
@00003220: $ 1 <= 0000acf0
@0000323c: $30 <= 12340000
@00003240: $31 <= 00004444
@00003244: $30 <= 000068ac
@00003248: *00000004 <= 00004444
@00003264: $30 <= 12340000
@00003268: $31 <= 00004444
@0000326c: $31 <= 00005678
@0000328c: $30 <= 12340000
@00003290: $31 <= 00004444
@00003294: $31 <= 00005678
@00003298: $ 1 <= 12345678
@000032b4: $30 <= 12340000
@000032b8: $31 <= 00004444
@000032bc: $31 <= 00005678
@000032c0: *00000004 <= 00005678
@000032dc: $30 <= 12340000
@000032e0: $31 <= 00005678
@000032e4: $31 <= 12340000
@00003304: $30 <= 12340000
@00003308: $31 <= 00005678
@0000330c: $31 <= 12340000
@00003310: $ 1 <= 24680000
@0000332c: $30 <= 12340000
@00003330: $31 <= 00005678
@00003334: $31 <= 12340000
@00003338: *00000004 <= 12340000
@00003354: $30 <= 12340000
@00003358: $31 <= 00005678
@0000335c: $30 <= 000068ac
@0000337c: $30 <= 12340000
@00003380: $31 <= 00005678
@00003384: $30 <= 000068ac
@00003388: $ 1 <= 0000bf24
@000033a4: $30 <= 12340000
@000033a8: $31 <= 00005678
@000033ac: $30 <= 000068ac
@000033b0: *00000004 <= 00005678
@000033cc: $30 <= 12340000
@000033d0: $31 <= 00005678
@000033d4: $31 <= 00005678
@000033f4: $30 <= 12340000
@000033f8: $31 <= 00005678
@000033fc: $31 <= 00005678
